titles,dates,creators,contributors,descriptions,coverage,subjects,types,formats,identifiers,languages,publishers,relations,rights,sources,,,,,,,,,,,
Rocky Mountain Gospel Tabernacle Association,1930,"Toothaker, Lillian","Bernhardt, William Henry","Special Investigation of The Rocky Mountain Gospel Tabernacle Association, 1930, in Vol. 1, Copy 2 of Denver Cults","Denver, Colorado",Religious History; Evangelical; Pentecostal; Sect,Text,,ist0989,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Denver Cults,,,,,,,,,,,
The Mystic Church of Christ,1932,"Dryden, Dead W.","Bernhardt, William Henry","Special Investigation of The Mystic Church of Christ, summer 1932, in Vol. 1, Copy 2 of Denver Cults","Denver, Colorado",Religious History; Mysticism; Divination; Cults,Text,,ist0990,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Denver Cults,,,,,,,,,,,
Denver Cults: 1939 Introduction,1939,"Bernhardt, William Henry","Bernhardt, William Henry","Introduction to Denver Cults publications 1939, in Vol. 3, Copy 2 of Denver Cults","Denver, Colorado",Denver Cults,Text,,ist0991,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Denver Cults,,,,,,,,,,,
Denver Cults: 1939 Table of Contents,1937,"Bernhardt, William Henry","Bernhardt, William Henry","Table of Contents for Denver Cults publications 1939 in Vol. 3, Copy 2 of Denver Cults","Denver, Colorado",Denver Cults,Text,,ist0992,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Denver Cults,,,,,,,,,,,
Shakers and Shakerism,1939,"Hodgens, Hubert W.","Bernhardt, William Henry","Special Investigation of Shakerism, 1939, in Vol. 3, Copy 2 of Denver Cults","Denver, Colorado",Religious History; Sect; Communitarianism; Abstinence,Text,,ist0994,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Denver Cults,,,,,,,,,,,
The Rosicrucian Order,1939,"Bosworth, Roger D.","Bernhardt, William Henry","Special Investigation of The Rosicrucian Order, 1939, in Vol, 3, Copy 2 of Denver Cults","Denver, Colorado",Religious History; Hermeticism; Esotericism; Occult,Text,,ist0996,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Denver Cults,,,,,,,,,,,
"The ""I Am"" Study Groups: Saint Germain's Activities",1939,"Ham, Vaughn Earl","Bernhardt, William Henry","Special Investigation of the ""I Am"" Study Groups, 1939, in Vol. 3, Copy 2 of Denver Cults","Denver, Colorado",Religious History; Theosophy; New Age Movement; Ascended Masters; Pantheism,Text,,ist0997,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Denver Cults,,,,,,,,,,,
"A Study of the Plans, Activities, and Accomplishments of the Father Divine Cult",1939,"Schumm, Robert William","Bernhardt, William Henry","Special Investigation of The Father Divine Cult, 1939, in Vol. 3, Copy 2 of Denver Cults","Denver, Colorado",Religious History; Father Divine; African American; Civil Rights,Text,,ist0998,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Denver Cults,,,,,,,,,,,
The Society for Ethical Culture,1939,"Wood, Wilbur P.","Bernhardt, William Henry","Special Investigation of The Society for Ethical Culture, 1939, in Vol. 3, Copy 2 of Denver Cults","Denver, Colorado",Religious History; Religion and Philosophy; Humanism,Text,,ist0999,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Denver Cults,,,,,,,,,,,
Assemblies of God Church: History of the Pentecostal Movement,,"Boyles, Paul E.","Bernhardt, William Henry","Special Investigation of Pentecostal Organizations in Denver Colorado and Pentecostal history, in Vol. 2, Copy 3 of Denver Cults","Denver, Colorado",Religious History; Pentecostal; Sect; Protestantism,Text,,ist1000,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Denver Cults,,,,,,,,,,,
Denver Cults: 1934-1937 Introduction,8/23/37,"Bernhardt, William Henry","Bernhardt, William Henry","Introduction to Denver Cults course publications 1937-1937, in Vol. 2, Copy 3 of Denver Cults","Denver, Colorado",Denver Cults,Text,,ist1001,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Denver Cults,,,,,,,,,,,
A Study of Denver Bible Institute,7/4/37,"Stewart, Carl D.","Bernhardt, William Henry","Special Investigation of The Denver Bible Institute, July 4th, 1937, in Vol. 2, Copy 3 of Denver Cults","Denver, Colorado",Religious History; Religious Education; Protestantism,Text,,ist1002,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Denver Cults,,,,,,,,,,,
"The Denver Bible League: Undenominational ""Now It Can Be Told""",1937,"Abel, John A.","Bernhardt, William Henry","Special Investigation of The Denver Bible League, summer 1937, in Vol. 2, Copy 3 of Denver Cults","Denver, Colorado",Religious History; Nondenominational; Sect,Text,,ist1003,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Denver Cults,,,,,,,,,,,
Denver Gospel Center (North Side Mission),1934,"Foster, Leon","Bernhardt, William Henry","Special Investigation of The Denver Gosple Center, 1934, in Vol. 2, Copy 3 of Denver Cults","Denver, Colorado",Religious History; Baptist,Text,,ist1004,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Denver Cults,,,,,,,,,,,
The Denver Buddhist Church,1937-07,"Peirce, Clarence R.","Bernhardt, William Henry","Special Investigation of The Denver Buddhist Church, July, 1937, in Vol. 2, Copy 3 of Denver Cults","Denver, Colorado",Religious History; Buddhism; Mahayana; Japanese,Text,,ist1005,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Denver Cults,,,,,,,,,,,
The Denver Revival Tabernacle,1937,"Unruh, Irvin","Bernhardt, William Henry","Special Investigation of The Denver Revival Tabernacle, summer 1937, in Vol. 2, Copy 3 of Denver Cults","Denver, Colorado",Religious History; Evangelism; Religious Healing; Kathryn Kuhlman,Text,,ist1006,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Denver Cults,,,,,,,,,,,
Denver Cults: 1934-1937 Table of Contents,1937,"Bernhardt, William Henry","Bernhardt, William Henry","Table of Contents for Denver Cults publications 1934-1937, in Vol. 2, Copy 3 of Denver Cults","Denver, Colorado",Denver Cults,Text,,ist1007,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Denver Cults,,,,,,,,,,,
The Father Divine Movement,1937,"Griggsby, Benajmin G.","Bernhardt, William Henry","Special Investigation of The Father Divine Movement, summer 1937, in Vol. 2, Copy 3 of Denver Cults","Denver, Colorado",Religious History; Father Divine; African American; Civil Rights,Text,,ist1008,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Denver Cults,,,,,,,,,,,
A Report on Esnneegaapea,8/5/37,"Stewart, Carl D.","Bernhardt, William Henry","Special Investigation of Esnneegaapea, August 5th, 1937, in Vol. 2, Copy 3 of Denver Cults","Denver, Colorado",Religious History; Revelation; Religion and Politics,Text,,ist1009,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Denver Cults,,,,,,,,,,,
"Letter from Henry White Warren to Diantha Warren, Oct. 23 1864",1864-10-23,"Warren, Henry White, 1831-1912",,"Correspondence during Civil War addressed to ""My Dear Wife""; Not Petersburg, October 23, 1864","Civil War, 1861-1865","United States--Civil War, 1861-1865.; United States Christian Commission",Text,,ist1010,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",BIshop Henry White Warren Collection,,,,,,,,,,,
"Letter from Henry White Warren to Diantha Warren, Oct. 19 1864",1864-10-19,"Warren, Henry White, 1831-1912",,"Correspondence during Civil War addressed to D.D.; Fortress Monroe, October 19, 1864","Civil War, 1861-1865","United States--Civil War, 1861-1865.; United States Christian Commission",Text,,ist1011,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",BIshop Henry White Warren Collection,,,,,,,,,,,
Letter from Henry White Warren to Unknown,,"Warren, Henry White, 1831-1912",,"Correspondence during Civil War, unaddressed and undated","Civil War, 1861-1865","United States--Civil War, 1861-1865.; United States Christian Commission",Text,,ist1012,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Bishop Henry White Warren Collection,,,,,,,,,,,
"Letter from Henry White Warren to Diantha Warren, Oct. 25 1864",1864-10-25,"Warren, Henry White, 1831-1912",,"Correspondence during Civil War addressed to ""Dear Wife""; Hospital First Division, October 25, 1864","Civil War, 1861-1865","United States--Civil War, 1861-1865.; United States Christian Commission",Text,,ist1013,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",BIshop Henry White Warren Collection,,,,,,,,,,,
"Letter from Henry White Warren to Parish, Oct. 20 1864",1864-10-20,"Warren, Henry White, 1831-1912",,"Correspondence during Civil War addressed to ""My Dear People""; Before Petersburg, October 20, 1864","Civil War, 1861-1865","United States--Civil War, 1861-1865.; United States Christian Commission",Text,,ist1014,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",BIshop Henry White Warren Collection,,,,,,,,,,,
"Letter from Henry White Warren to Diantha Warren, Nov. 18 1864",1864-11-18,"Warren, Henry White, 1831-1912",,"Correspondence during Civil War addressed to ""Dear Wife""; November 18, 1864","Civil War, 1861-1865","United States--Civil War, 1861-1865.; United States Christian Commission",Text,,ist1015,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Bishop Henry White Warren Collection,,,,,,,,,,,
"Letter from Henry White Warren to Parish, Nov. 5 1864",1864-11-05,"Warren, Henry White, 1831-1912",,"Correspondence during Civil War addressed to ""My Dear People""; November 5, 1864","Civil War, 1861-1865","United States--Civil War, 1861-1865.; United States Christian Commission",Text,,ist1016,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Bishop Henry White Warren Collection,,,,,,,,,,,
"Letter from Henry White Warren to Diantha Warren, 1864",1864,"Warren, Henry White, 1831-1912",,"Correspondence during Civil War addressed to ""My Dear Wife""; City Point, 1864","Civil War, 1861-1865","United States--Civil War, 1861-1865.; United States Christian Commission",Text,,ist1017,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Bishop Henry White Warren Collection,,,,,,,,,,,
"Letter from Henry White Warren to Diantha Warren, Nov. 21 1864",1864-11-21,"Warren, Henry White, 1831-1912",,"Correspondence during Civil War addressed to ""My Dear Wife""; Some Place, November 21, 1864","Civil War, 1861-1865","United States--Civil War, 1861-1865.; United States Christian Commission",Text,,ist1018,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Bishop Henry White Warren Collection,,,,,,,,,,,
"Letter from Henry White Warren to Parish, Oct. 29 1864",1864-10-29,"Warren, Henry White, 1831-1912",,"Correspondence during Civil War addressed to ""My Dear People""; October 29, 1864","Civil War, 1861-1865","United States--Civil War, 1861-1865.; United States Christian Commission",Text,,ist1019,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",BIshop Henry White Warren Collection,,,,,,,,,,,
"Letter from Henry White Warren to Diantha Warren, Nov. 20 1864",1864-11-20,"Warren, Henry White, 1831-1912",,"Correspondence during Civil War addressed to ""Dear Wife""; Some place, November 20, 1864","Civil War, 1861-1865","United States--Civil War, 1861-1865.; United States Christian Commission",Text,,ist1020,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Bishop Henry White Warren Collection,,,,,,,,,,,
"Letter from Henry White Warren to Diantha Warren, Nov. 12 1864",1864-11-12,"Warren, Henry White, 1831-1912",,"Correspondence during Civil War addressed to D.D.; Still before Petersberg, November 12, 1864","Civil War, 1861-1865","United States--Civil War, 1861-1865.; United States Christian Commission",Text,,ist1021,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Bishop Henry White Warren Collection,,,,,,,,,,,
"Letter from Henry White Warren to Diantha Warren, Nov. 3 1864",1864-11-03,"Warren, Henry White, 1831-1912",,"Correspondence during Civil War addressed to ""My Dear Wife""; November 3, 1864","Civil War, 1861-1865","United States--Civil War, 1861-1865.; United States Christian Commission",Text,,ist1022,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Bishop Henry White Warren Collection,,,,,,,,,,,
"Letter from Henry White Warren, Nov. 11 1864",1864-11-10,"Warren, Henry White, 1831-1912",,"Correspondence during Civil War, unaddressed but most likely to wife; Thursday Eve, November 10, 1864","Civil War, 1861-1865","United States--Civil War, 1861-1865.; United States Christian Commission",Text,,ist1023,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Bishop Henry White Warren Collection,,,,,,,,,,,
"Letter from Henry White Warren to Diantha Warren, Nov. 10 1864",1864-11-10,"Warren, Henry White, 1831-1912",,"Correspondence during Civil War addressed to ""My Dear Wife""; First Division Hospital, Second Corps., November 10, 1864","Civil War, 1861-1865","United States--Civil War, 1861-1865.; United States Christian Commission",Text,,ist1024,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Bishop Henry White Warren Collection,,,,,,,,,,,
Letter from Henry White Warren to Diantha Warren,,"Warren, Henry White, 1831-1912",,"Correspondence during Civil War addressed to ""My Dear Wife""; undated","Civil War, 1861-1865","United States--Civil War, 1861-1865.; United States Christian Commission",Text,,ist1025,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Bishop Henry White Warren Collection,,,,,,,,,,,
"Letter from Henry White Warren to Diantha Warren, 1864",1864,"Warren, Henry White, 1831-1912",,"Correspondence during Civil War addressed to ""My Dear Wife""; 1864 [December?]","Civil War, 1861-1865","United States--Civil War, 1861-1865.; United States Christian Commission",Text,,ist1026,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Bishop Henry White Warren Collection,,,,,,,,,,,
"Letter from Henry White Warren to Diantha Warren, Monday A.M.",,"Warren, Henry White, 1831-1912",,"Correspondence during Civil War addressed to ""My Dear Wife""; Monday A.M., undated","Civil War, 1861-1865","United States--Civil War, 1861-1865.; United States Christian Commission",Text,,ist1027,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Bishop Henry White Warren Collection,,,,,,,,,,,
"Letter from Henry White Warren to Daughter, Nov. 1864",1864-11,"Warren, Henry White, 1831-1912",,"Correspondence during Civil War addressed to ""My Dear Baby Nellie""; Before Petersburg, November 1864","Civil War, 1861-1865","United States--Civil War, 1861-1865.; United States Christian Commission",Text,,ist1028,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Bishop Henry White Warren Collection,,,,,,,,,,,
"Letter from Henry White Warren to Diantha Warren, Oct. 31 1864",1864-10-31,"Warren, Henry White, 1831-1912",,"Correspondence during Civil War addressed to D.D.; Southall House, October 31, 1864","Civil War, 1861-1865","United States--Civil War, 1861-1865.; United States Christian Commission",Text,,ist1029,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Bishop Henry White Warren Collection,,,,,,,,,,,
Memoir: Bishop H.W. Warren,5/17/13,"Noble, Eugene A.",,"A memorial for Henry White Warren written by Eugune Noble, President of Dickinson College in Carlisle, Pennsylvania; May 17, 1913. It was also signed by William Kelley, Frank Dek. Huyler, and Wallace MacMullen",,Memorial service.,Text,,ist1030,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Bishop Henry White Warren Collection,,,,,,,,,,,
Memorial to Bishop Henry White Warren Adopted by the San Francisco Preachers' Meeting,8/5/12,"Dille, E.R.; Willis, E.R.; Bovand, F.",,"A memorial for Henry White Warren adopted by the San Francisco Preachers' Meeting; August 5, 1912",,Memorial service.,Text,,ist1031,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Bishop Henry White Warren Collection,,,,,,,,,,,
The Life Story of Bishop Henry White Warren,7/24/12,"Butchel, Henry A.",,"A memorial for Henry White Warren written by Chancellor Henry A. Butchel for the Denver Times; July 24, 1912",,Memorial service.,Text,,ist1032,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Bishop Henry White Warren Collection,,,,,,,,,,,
Bishop Henry White Warren: A Memorial Minute Adopted by the Genereal Committe of Foreign Missions,11/14/12,General Committee of Foreign Missions,,"A memorial for Henry White Warren adopted by the General Committee of Foreign Missions in session at Brooklyn, N.Y.",,Memorial service.,Text,,ist1033,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Bishop Henry White Warren Collection,,,,,,,,,,,
Memorial Address about Bishop Henry Warren from Clark Univeristy,,"Crogman, W.H.",,A handwritten memorial for Henry White Warren from the Board of Trustees at Clark University.,,Memorial service.,Text,,ist1034,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Bishop Henry White Warren Collection,,,,,,,,,,,
"Letter from Henry White Warren to Diantha Warren, Oct. 23 1865",1899-12-30,"Warren, Henry White, 1831-1912",,"Correspondence during Civil War addressed to ""My Dear Wife""; Not Petersburg, October 23, 1865","Civil War, 1861-1865","United States--Civil War, 1861-1865.; United States Christian Commission",Text,,ist1035,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",BIshop Henry White Warren Collection,,,,,,,,,,,
"Letter from Henry White Warren to Diantha Warren, Oct. 19 1865",1899-12-30,"Warren, Henry White, 1831-1912",,"Correspondence during Civil War addressed to D.D.; Fortress Monroe, October 19, 1865","Civil War, 1861-1865","United States--Civil War, 1861-1865.; United States Christian Commission",Text,,ist1036,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",BIshop Henry White Warren Collection,,,,,,,,,,,
Letter from Henry White Warren to Unknown,,"Warren, Henry White, 1831-1912",,"Correspondence during Civil War, unaddressed and undated","Civil War, 1861-1865","United States--Civil War, 1861-1865.; United States Christian Commission",Text,,ist1037,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Bishop Henry White Warren Collection,,,,,,,,,,,
Bishop Henry White Warren: A Tribute,1916-05,"Reisner, Christian F.",Methodist Review,"A tribute to Henry White Warren from the Methodist Review, May-June 1916.",,Memorial service.,Text,,ist1038,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Bishop Henry White Warren Collection,,,,,,,,,,,
Memorial About Henry White Warren by a Sibling,,,,"A memorial for Henry White Warren by a sibling, undated.",,Memorial service.,Text,,ist1039,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Bishop Henry White Warren Collection,,,,,,,,,,,
